,Unnamed: 0.1,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
202,218,218,경희마크329 전기차충전소,경기 용인시 기흥구 서천로127번길 11-5,4,24,1,4,0,0,0,0,0,0,0,0,0,0,0,0,127.073401,37.23677539
203,219,219,유림동주민센터 전기차충전소,경기 용인시 처인구 백옥대로 1315,0,24,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,127.21205,37.25285779
204,220,220,EV충전소 SK톨게이트주유소 (ev Most),경기 용인시 처인구 백옥대로 1410,0,15,1,1,0,0,0,0,1,0,0,0,1,1,0,1,127.2130945,37.26088474
206,222,222,명지대학교 자연캠퍼스 전기차충전소,경기 용인시 처인구 명지로 116,6,24,1,6,0,0,0,0,0,0,0,0,0,0,0,0,127.1901837,37.22180726
207,223,223,고등기술연구원연구조합 전기차충전소,경기 용인시 처인구 백암면 고안로51번길 175-28,6,24,1,6,0,0,0,0,0,0,0,0,0,0,0,0,127.4142428,37.14737991
208,224,224,경기용인 엘지빌리지5차3 전기차충전소,경기 용인시 수지구 신봉1로 110 506~507동 2주차장 지하1층 39기둥,3,24,1,3,0,0,0,0,0,0,0,2,1,1,1,2,127.0741122,37.32783341
212,228,228,용인세브란스병원 전기차충전소,경기 용인시 기흥구 동백죽전대로 363,5,24,1,7,0,0,0,0,1,0,0,0,0,0,2,0,127.1482857,37.27069822
213,229,229,동용인지사 전기차충전소,경기 용인시 처인구 금령로78번길 5,0,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.205457,37.23467951
214,230,230,스프링카운티자이 전기차충전소,경기 용인시 기흥구 동백죽전대로 333,20,9,1,25,1,1,1,1,1,0,0,0,2,2,2,1,127.1506994,37.26934091
216,232,232,삼천리 에버랜드 복합충전소(완속),경기 용인시 처인구 포곡읍 곡현로 74,2,24,1,2,1,2,2,2,1,2,2,2,2,2,1,0,127.2226093,37.29327236
217,233,233,명가코다리찜 전기차충전소,경기 용인시 처인구 포곡읍 포곡로272번길 19-6,2,24,1,2,1,1,1,1,1,1,1,1,0,0,1,1,127.2323835,37.27737973
218,234,234,유니버스트윈1차오피스텔 전기차충전소,경기 용인시 처인구 명지로40번길 15-9,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.1867456,37.23161306
220,236,236,양우내안에 에듀퍼스트6 전기차충전소,경기 용인시 처인구 경안천로 196-1 휘트니스,3,24,1,3,0,0,0,0,0,0,1,0,0,0,3,2,127.2211929,37.24918797
221,237,237,보정동주민센터 전기차충전소,경기 용인시 기흥구 보정동 1264,0,24,1,2,1,1,1,1,1,2,2,2,2,2,0,0,127.1131367,37.32013989
225,242,242,㈜한화시스템 전기차충전소,경기 용인시 처인구 남사읍 경기동로 491-23,2,24,1,2,1,1,1,1,1,1,1,1,1,1,1,1,127.1795822,37.1434847
227,244,244,풍덕천1동주민센터 전기차충전소,경기 용인시 수지구 수지로342번길 3,0,9,1,1,0,0,0,0,0,0,0,0,1,1,1,0,127.0950287,37.32795741
229,246,246,서그내빌 전기차충전소,경기 용인시 기흥구 서그내로53번길 44,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0696183,37.2406919
