,Unnamed: 0,주차장명,도로명주소,완속충전기수,운영시간,"요금(유료=1, 무료=0)",전체충전기수,1시(이용량),3시,5시,7시,9시,11시,13시,15시,17시,19시,21시,23시,cell_xcrd,cell_ycrd
123,123,한보라마을휴먼시아5단지 2주차장,경기 용인시 기흥구 한보라1로43번길 22,2,24,1,2,0,0,0,0,0,0,0,0,0,0,1,0,127.1107225,37.24912934
124,124,수지센트럴아이파크6주차장 전기차충전소,경기 용인시 수지구 상현로 101,2,24,1,2,1,1,1,1,0,0,0,0,0,0,0,0,127.0833161,37.30762081
125,125,지산리조트 전기차충전소,경기 용인시 처인구 원삼면 죽양대로2000번길 60,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.3358449,37.20987573
126,126,삼성전자 기흥캠퍼스 전기차충전소,경기 용인시 기흥구 삼성로 1,20,9,1,21,1.25,1.25,1.25,1.25,3.75,3.75,2.5,1.25,3.75,3.75,1.25,2.5,127.0877637,37.22694447
127,127,수지벽산1단지아파트 전기차충전소,경기 용인시 수지구 용구대로2771번길 68,5,24,1,5,1,2,2,2,2,0,0,0,0,0,1,2,127.1068422,37.33641369
128,128,새터마을죽전힐스테이트 전기차충전소,경기 용인시 수지구 죽전로 267 708동A 지하2층,0,24,1,2,0,0,2,2,1,0,0,0,1,1,1,0,127.1260663,37.33495339
129,129,한국전기 전기차충전소,경기 용인시 수지구 고기로 203,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.0832797,37.35113256
130,130,용인시청 신봉동주민센터 전기차충전소,경기 용인시 수지구 수지로 215,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0836395,37.32066575
132,132,수지파크푸르지오아파트 전기차충전소,"경기 용인시 수지구 풍덕천로171번길 9 지하1층 6대, 102동 3대, 103동 3대",6,24,1,6,3,3,3,3,3,3,2,1,0,0,1,1,127.0992444,37.32682901
134,134,죽현마을아이파크1차2주차장 전기차충전소,경기 용인시 기흥구 보정로 87,3,24,1,3,0,0,0,0,0,0,0,0,1,1,2,1,127.113298,37.31744114
135,135,원대마을한신아파트 전기차충전소,경기 용인시 기흥구 신갈로 102,4,24,1,4,1,1,1,1,1,1,1,1,1,1,1,2,127.1067741,37.27605205
136,136,광교산한양수자인더킨포크 전기차충전소,경기 용인시 수지구 태봉로 17,2,24,1,2,1,2,1,0,0,0,0,0,1,1,1,2,127.0574445,37.33466485
137,137,기흥도서관 전기차충전소,경기 용인시 기흥구 기흥로116번길 10 지하1층 주차장 벽면,0,24,1,1,0,0,0,0,0,0,1,1,0,0,0,0,127.1135998,37.28617851
138,138,다우기술 전기차충전소,경기 용인시 수지구 디지털벨리로 81,3,24,1,3,1,1,1,1,1,1,1,1,3,3,1,1,127.137298,37.33313847
139,139,양우내안에에듀퍼스트1 전기차충전소,경기 용인시 처인구 경안천로 196-1 203동,2,24,1,2,0,0,0,0,0,0,0,0,0,0,1,1,127.2211929,37.24918797
140,140,용인 신봉마을동일하이빌3단지아파트2,경기 용인시 수지구 신봉3로 25,2,24,1,2,0,0,0,0,0,0,0,0,0,0,0,0,127.064895,37.32656198
141,141,래미안이스트팰리스1단지3 전기차충전소,경기 용인시 수지구 동천로153번길 7,3,24,1,3,2,2,2,2,1,2,1,2,1,1,2,3,127.0873582,37.33630417
142,142,신봉마을동일하이빌3단지아파트1,경기 용인시 수지구 신봉3로 25,3,24,1,3,0,0,0,0,0,0,0,0,1,1,1,3,127.064895,37.32656198
